utt_id,script_text,whisper_text,match_ratio,verbatim_text
s02_B_natural_C026,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,0.833,Open the Pratt documentation in Safari.
s02_B_natural_C014,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,0.833,Convert eighty degrees Fahrenheit to Celsius.
s01_C_creak_C027,Schedule a meeting for Friday afternoon.,Scheduled a meeting for Friday afternoon.,0.833,Schedule a meeting for Friday afternoon.
s01_C_creak_C004,Play the new Noah Kahan album.,Play the new Noah Kahn album,0.833,Play the new Noah Kahn album
s01_C_creak_C040,Play white noise for thirty minutes.,Play white noise for 30 minutes,0.833,Play white noise for thirty minutes.
s01_C_creak_C035,How many days until September first?,How many days until September 1st?,0.833,How many days until September first?
s01_C_creak_C014,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,0.833,Convert eighty degrees Fahrenheit to Celsius.
s01_C_creak_C001,Set a timer for twelve minutes.,Set a timer for 12 minutes.,0.833,Set a timer for twelve minutes.
s01_C_creak_C026,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,0.833,Open the Pratt documentation in Safari.
s02_C_creak_C004,Play the new Noah Kahan album.,play the new noah kahn album,0.833,Play the new Noah Kahn album.
s02_C_creak_C025,Turn the volume down a little.,turn the volume down a little,0.833,Turn the volume down a little.
s02_C_creak_C040,Play white noise for thirty minutes.,Play white noise for 30 minutes.,0.833,Play white noise for thirty minutes.
s02_C_creak_C035,How many days until September first?,How many days until September 1st?,0.833,How many days until September first?
s02_C_creak_C014,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,0.833,Convert eighty degrees Fahrenheit to Celsius.
s02_C_creak_C001,Set a timer for twelve minutes.,Set a timer for 12 minutes.,0.833,Set a timer for twelve minutes.
s02_C_creak_C026,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,0.833,Open the Pratt documentation in Safari.
s01_A_modal_C013,Show me my calendar for next Thursday.,Show me a calendar for next Thursday.,0.857,Show me a calendar for next Thursday.
s01_B_natural_C024,What is twenty percent of forty-three dollars?,What is 20 % of $43?,0.857,What is twenty percent of forty-three dollars?
s02_B_natural_D011,They shipped the equipment in reinforced crates.,They shipped the equipment and reinforced crates.,0.857,They shipped the equipment in reinforced crates.
s01_C_creak_D011,They shipped the equipment in reinforced crates.,They shipped the equipment and reinforced crates.,0.857,They shipped the equipment in reinforced crate.
s01_C_creak_D025,Amber light spilled across the polished floorboards.,Amber light spilled across the polished floorboards,0.857,Amber light spilled across the polished floorboards.
s02_C_creak_D011,They shipped the equipment in reinforced crates.,they shipped the equipment and reinforced crates,0.857,They shipped the equipment in reinforced crate.
s02_C_creak_C024,What is twenty percent of forty-three dollars?,what is 20 of 43 dollars,0.857,What is twenty percent of forty-three dollars?
s02_C_creak_C038,Email the lab about the annotation deadline.,Mail the lab about the annotation deadline.,0.857,Mail the lab about the annotation deadline.
s01_A_modal_D017,I bought a secondhand bicycle for forty dollars.,I bought a second -hand bicycle for $40.,0.875,I bought a secondhand bicycle for forty dollars.
s01_A_modal_C032,Add a wisteria trellis to my shopping list.,Add Wisteria trellis to my shopping list.,0.875,Add a wisteria trellis to my shopping list.
s02_A_modal_C032,Add a wisteria trellis to my shopping list.,Add wisteria trellis to my shopping list.,0.875,Add a wisteria trellis to my shopping list.
s02_A_modal_D015,The librarian stamped each card with quiet precision.,The librarian stamped each card with quiet precision.,0.875,The librarian stamped each card with quiet precision.
s01_B_natural_C032,Add a wisteria trellis to my shopping list.,Add wisteria trellis to my shopping list.,0.875,Add a wisteria trellis to my shopping list.
s01_B_natural_D017,I bought a secondhand bicycle for forty dollars.,I bought a second -hand bicycle for $40.,0.875,I bought a secondhand bicycle for forty dollars.
s02_B_natural_C032,Add a wisteria trellis to my shopping list.,Add wisteria trellis to my shopping list.,0.875,Add a wisteria trellis to my shopping list.
s02_B_natural_D009,The choir rehearsed the same passage eleven times.,The choir rehearsed the same passage 11 times.,0.875,The choir rehearsed the same passage eleven times.
s01_C_creak_D014,Nobody remembered who had locked the back door.,Nobody remembered who had locked the back doors.,0.875,Nobody remembered who had locked the back doors.
s01_C_creak_D027,The tailor pinned the hem with practiced fingers.,The dealer pinned the hem with practice finger,0.875,The tailor pinned the hem with practiced fingers.
s01_C_creak_D009,The choir rehearsed the same passage eleven times.,The choir rehearsed with the same passage 11 times,0.875,The choir rehearsed the same passage eleven times.
s01_C_creak_C032,Add a wisteria trellis to my shopping list.,Add wisteria trellis to my shopping list.,0.875,Add a wisteria trellis to my shopping list.
s02_C_creak_D027,The tailor pinned the hem with practiced fingers.,and the tailor pinned the hem with practice fingers,0.875,Int the tailor pinned the hem with practiced fingers.
s02_C_creak_D009,The choir rehearsed the same passage eleven times.,The choir rehearsed the same passage 11 times.,0.875,The choir rehearsed the same passage eleven times.
s02_C_creak_C032,Add a wisteria trellis to my shopping list.,Add wisteria trellis to my shopping list.,0.875,Add a wisteria trellis to my shopping list.
s02_C_creak_C012,Send a photo to the choir group chat.,Send a photo of the choir group chat.,0.875,Send a photo of the choir group chat.
s02_C_creak_D022,Snow buried the fence posts by early January.,Snow buried the fence post by early January.,0.875,Snow buried the fence posts by early January.
s01_A_modal_D034,The children traded stickers during the long bus ride.,The children traded sticks during the long bus ride.,0.889,The children traded sticks during the long bus ride.
s01_A_modal_D012,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,0.889,The tide pulled the small boat towards the rocks.
s02_A_modal_D023,She wrote the whole essay on a borrowed laptop.,She wrote a whole essay on a borrowed laptop.,0.889,She wrote a whole essay on a borrowed laptop.
s02_A_modal_D012,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,0.889,The tide pulled the small boat towards the rocks.
s01_B_natural_D012,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,0.889,The tide pulled the small boat towards the rocks.
s01_B_natural_F013,He's been doing that same job for eleven years.,He's been doing that same job for 11 years.,0.889,He's been doing that same job for eleven years.
s02_B_natural_D012,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,0.889,The tide pulled the small boat towards the rocks.
s02_B_natural_D026,We watched the storm move east across the valley.,We watched the store move east across the valley.,0.889,We watched the storm move east across the val.
s02_B_natural_F013,He's been doing that same job for eleven years.,He's been doing that same job for 11 years.,0.889,He's been doing that same job for eleven years.
s01_C_creak_D012,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,0.889,The tide pulled the small boat towards the rocks.
s01_C_creak_F013,He's been doing that same job for eleven years.,He's been doing that same job for 11 years.,0.889,He's been doing that same job for eleven years.
s01_C_creak_F001,"I don't really know what she was thinking, honestly.","I don't know what she was thinking, honestly.",0.889,"I don't know what she was thinking, honest."
s01_C_creak_D033,Bright green algae covered the surface of the water.,Bright green algae covered the surface of the water.,0.889,Bright green algae covered the surface of the water.
s01_C_creak_D034,The children traded stickers during the long bus ride.,The children traded stickers during the long bus driving.,0.889,The children traded stickers during the long bus.
s02_C_creak_D012,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,0.889,The tide pulled the small boat towards the rocks.
s02_C_creak_F013,He's been doing that same job for eleven years.,he's been doing that same job for 11 years,0.889,He's been doing that same job for eleven years.
s02_C_creak_D026,We watched the storm move east across the valley.,We watched the store move east across the valley.,0.889,We watched the storm move east across the valley.
s01_A_modal_D007,He measured the flour twice and still got it wrong.,He measured the flower twice and still got it wrong.,0.9,He measured the flour twice and still got it wrong.
s01_A_modal_F009,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple years ago.,0.9,They moved out to Oregon a couple years ago.
s01_A_modal_F011,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now.,0.9,I've been meaning to write back for a while now.
s02_A_modal_F009,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple years ago.,0.9,They moved out to Oregon a couple years ago.
s02_A_modal_F025,It felt like the longest week of the entire summer.,It felt like the longest week of my entire summer.,0.9,It felt like the longest week of my entire summer.
s02_A_modal_F011,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now.,0.9,I've been meaning to write back for a while now.
s02_A_modal_F012,We sat there in the car for maybe twenty minutes.,We sat there in the car for maybe 20 minutes.,0.9,We sat there in the car for maybe twenty minutes.
s01_B_natural_F011,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now.,0.9,I've been meaning to write back for a while now.
s01_B_natural_F012,We sat there in the car for maybe twenty minutes.,We sat there in the car for maybe 20 minutes.,0.9,We sat there in the car for maybe twenty minutes.
s01_B_natural_D007,He measured the flour twice and still got it wrong.,He measured the flower twice and still got it wrong.,0.9,He measured the flour twice and still got it wrong.
s01_B_natural_F009,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple years ago.,0.9,They moved out to Oregon a couple years ago.
s01_B_natural_D030,A heron stood motionless at the edge of the pond.,A heron stood motionless on the edge of the pond.,0.9,A heron stood motionless on the edge of the pond.
s02_B_natural_F011,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now.,0.9,I've been meaning to write back for a while now.
s02_B_natural_D007,He measured the flour twice and still got it wrong.,He measured the flower twice and still got it wrong.,0.9,He measured the flour twice and still got it wrong.
s02_B_natural_F009,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple years ago.,0.9,They moved out to Oregon a couple years ago.
s01_C_creak_D021,"The recipe called for saffron, which we could not find.","The recipe calls for saffron, which we could not find.",0.9,"The recipe calls for saffron, which we could not find."
s01_C_creak_F009,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple of years ago.,0.9,They moved out to Oregon a couple of years ago.
s01_C_creak_D007,He measured the flour twice and still got it wrong.,He measured the flower twice and still got it wrong.,0.9,He measured the flour twice and still got it wrong.
s01_C_creak_F011,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now,0.9,I've been meaning to write back for a while now
s01_C_creak_D032,He folded the newspaper and set it on the table.,He folded the newspapers and set it on the table.,0.9,He folded the newspapers and set it on the tape.
s02_C_creak_F009,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple years ago.,0.9,They moved out to Oregon a couple years ago.
s02_C_creak_D007,He measured the flour twice and still got it wrong.,and he measured the flower twice and still got it wrong,0.9,He measured the flour twice and still got it wrong.
s02_C_creak_F011,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now.,0.9,I've been meaning to write back for a while now.
s01_C_creak_F003,It was one of those afternoons where nothing happened at all.,It was one of those afternoons where nothing happens at all.,0.909,It was one of those afternoons where nothing happens at all.
