utt_id,session,pass,was_corrected,hypothesis,script_text,verbatim_text,verbatim_substitutions,verbatim_deletions,verbatim_insertions,verbatim_reference_length,verbatim_wer,verbatim_alignment,script_substitutions,script_deletions,script_insertions,script_reference_length,script_wer,script_alignment
s01_A_modal_C011,s01,A_modal,False,Navigate to Grand Central term,Navigate to Grand Central Terminal.,Navigate to Grand Central Terminal.,1,0,0,5,0.2,navigate to grand central [terminal->term],1,0,0,5,0.2,navigate to grand central [terminal->term]
s01_A_modal_C012,s01,A_modal,False,Send a photo to the choir group,Send a photo to the choir group chat.,Send a photo to the choir group chat.,0,1,0,8,0.125,send a photo to the choir group [-chat],0,1,0,8,0.125,send a photo to the choir group [-chat]
s01_A_modal_C013,s01,A_modal,True,Show me a calendar for next,Show me my calendar for next Thursday.,Show me a calendar for next Thursday.,0,1,0,7,0.1429,show me a calendar for next [-thursday],1,1,0,7,0.2857,show me [my->a] calendar for next [-thursday]
s01_A_modal_C014,s01,A_modal,False,Convert 80°F to Celsius,Convert eighty degrees Fahrenheit to Celsius.,Convert eighty degrees Fahrenheit to Celsius.,1,0,0,6,0.1667,convert eighty degrees [fahrenheit->f] to celsius,1,0,0,6,0.1667,convert eighty degrees [fahrenheit->f] to celsius
s01_A_modal_C015,s01,A_modal,False,Skip to the next song,Skip to the next song.,Skip to the next song.,0,0,0,5,0.0,skip to the next song,0,0,0,5,0.0,skip to the next song
s01_A_modal_C016,s01,A_modal,False,What's the score of the Mets game,What's the score of the Mets game?,What's the score of the Mets game?,0,0,0,7,0.0,what's the score of the mets game,0,0,0,7,0.0,what's the score of the mets game
s01_A_modal_C017,s01,A_modal,False,Set an alarm for 6:45,Set an alarm for six forty-five.,Set an alarm for six forty-five.,0,0,0,7,0.0,set an alarm for six forty five,0,0,0,7,0.0,set an alarm for six forty five
s01_A_modal_C018,s01,A_modal,False,Find a Ramen place open past midnight,Find a ramen place open past midnight.,Find a ramen place open past midnight.,0,0,0,7,0.0,find a ramen place open past midnight,0,0,0,7,0.0,find a ramen place open past midnight
s01_A_modal_C019,s01,A_modal,False,Read my message list read my last message from,Read my last message from Anjali.,Read my last message from Anjali.,0,1,4,6,0.8333,[+read] [+my] [+message] [+list] read my last message from [-anjali],0,1,4,6,0.8333,[+read] [+my] [+message] [+list] read my last message from [-anjali]
s01_A_modal_C020,s01,A_modal,False,How do you say thank you in Japanese,How do you say thank you in Japanese?,How do you say thank you in Japanese?,0,0,0,8,0.0,how do you say thank you in japanese,0,0,0,8,0.0,how do you say thank you in japanese
s01_A_modal_C021,s01,A_modal,False,Start a workout on my watch,Start a workout on my watch.,Start a workout on my watch.,0,0,0,6,0.0,start a workout on my watch,0,0,0,6,0.0,start a workout on my watch
s01_A_modal_C022,s01,A_modal,False,Cancel my reminder about the dentist,Cancel my reminder about the dentist.,Cancel my reminder about the dentist.,0,0,0,6,0.0,cancel my reminder about the dentist,0,0,0,6,0.0,cancel my reminder about the dentist
s01_A_modal_C023,s01,A_modal,False,Take a note about the pitch analytes,Take a note about the pitch analysis.,Take a note about the pitch analysis.,1,0,0,7,0.1429,take a note about the pitch [analysis->analytes],1,0,0,7,0.1429,take a note about the pitch [analysis->analytes]
s01_A_modal_C024,s01,A_modal,False,What is 20% of $43,What is twenty percent of forty-three dollars?,What is twenty percent of forty-three dollars?,0,0,0,8,0.0,what is twenty percent of forty three dollars,0,0,0,8,0.0,what is twenty percent of forty three dollars
s01_A_modal_C025,s01,A_modal,False,Turn the volume down a,Turn the volume down a little.,Turn the volume down a little.,0,1,0,6,0.1667,turn the volume down a [-little],0,1,0,6,0.1667,turn the volume down a [-little]
s01_A_modal_C026,s01,A_modal,True,Open the Pratt documentation in Safari,Open the Praat documentation in Safari.,Open the Praat documentation in Safari.,1,0,0,6,0.1667,open the [praat->pratt] documentation in safari,1,0,0,6,0.1667,open the [praat->pratt] documentation in safari
s01_A_modal_C027,s01,A_modal,False,Schedule a meeting for Friday afternoon,Schedule a meeting for Friday afternoon.,Schedule a meeting for Friday afternoon.,0,0,0,6,0.0,schedule a meeting for friday afternoon,0,0,0,6,0.0,schedule a meeting for friday afternoon
s01_A_modal_C028,s01,A_modal,False,Is it going to rain this evening,Is it going to rain this evening?,Is it going to rain this evening?,0,0,0,7,0.0,is it going to rain this evening,0,0,0,7,0.0,is it going to rain this evening
s01_A_modal_C029,s01,A_modal,False,Play something quiet while I study,Play something quiet while I study.,Play something quiet while I study.,0,0,0,6,0.0,play something quiet while i study,0,0,0,6,0.0,play something quiet while i study
s01_A_modal_C030,s01,A_modal,False,Delete the last voice memo,Delete the last voice memo.,Delete the last voice memo.,0,0,0,5,0.0,delete the last voice memo,0,0,0,5,0.0,delete the last voice memo
s01_A_modal_C031,s01,A_modal,False,What's the fastest way to Morningside Heights,What's the fastest way to Morningside Heights?,What's the fastest way to Morningside Heights?,0,0,0,7,0.0,what's the fastest way to morningside heights,0,0,0,7,0.0,what's the fastest way to morningside heights
s01_A_modal_C032,s01,A_modal,False,Add Wisteria trellis to my shopping list,Add a wisteria trellis to my shopping list.,Add a wisteria trellis to my shopping list.,0,1,0,8,0.125,add [-a] wisteria trellis to my shopping list,0,1,0,8,0.125,add [-a] wisteria trellis to my shopping list
s01_A_modal_C033,s01,A_modal,False,Tell me a joke about linguist,Tell me a joke about linguists.,Tell me a joke about linguists.,1,0,0,6,0.1667,tell me a joke about [linguists->linguist],1,0,0,6,0.1667,tell me a joke about [linguists->linguist]
s01_A_modal_C034,s01,A_modal,True,Show me photos of Cape Cod,Show me photos from Cape Cod.,Show me photos of Cape Caw.,1,0,0,6,0.1667,show me photos of cape [caw->cod],1,0,0,6,0.1667,show me photos [from->of] cape cod
s01_A_modal_C035,s01,A_modal,True,How many days until September,How many days until September first?,How many days until September?,0,0,0,5,0.0,how many days until september,0,1,0,6,0.1667,how many days until september [-first]
s01_A_modal_C036,s01,A_modal,False,Turn on do not disturb until,Turn on do not disturb until noon.,Turn on do not disturb until noon.,0,1,0,7,0.1429,turn on do not disturb until [-noon],0,1,0,7,0.1429,turn on do not disturb until [-noon]
s01_A_modal_C037,s01,A_modal,False,Where is the nearest pharmacy,Where is the nearest pharmacy?,Where is the nearest pharmacy?,0,0,0,5,0.0,where is the nearest pharmacy,0,0,0,5,0.0,where is the nearest pharmacy
s01_A_modal_C038,s01,A_modal,False,Email the lab about the annotation deadline,Email the lab about the annotation deadline.,Email the lab about the annotation deadline.,0,0,0,7,0.0,email the lab about the annotation deadline,0,0,0,7,0.0,email the lab about the annotation deadline
s01_A_modal_C039,s01,A_modal,True,What is my agenda this morning,What's on my agenda this morning?,What is my agenda this morning?,0,0,0,6,0.0,what is my agenda this morning,2,0,0,6,0.3333,[what's->what] [on->is] my agenda this morning
s01_A_modal_C040,s01,A_modal,False,Play White Noise for 30,Play white noise for thirty minutes.,Play white noise for thirty minutes.,0,1,0,6,0.1667,play white noise for thirty [-minutes],0,1,0,6,0.1667,play white noise for thirty [-minutes]
s01_A_modal_D001,s01,A_modal,False,The old bridge ground under the weight of the truck,The old bridge groaned under the weight of the truck.,The old bridge groaned under the weight of the truck.,1,0,0,10,0.1,the old bridge [groaned->ground] under the weight of the truck,1,0,0,10,0.1,the old bridge [groaned->ground] under the weight of the truck
s01_A_modal_D002,s01,A_modal,False,She poured the vinegar into a shallow glass dish,She poured the vinegar into a shallow glass dish.,She poured the vinegar into a shallow glass dish.,0,0,0,9,0.0,she poured the vinegar into a shallow glass dish,0,0,0,9,0.0,she poured the vinegar into a shallow glass dish
s01_A_modal_D003,s01,A_modal,False,Seven zebras wandered across the dusty road,Seven zebras wandered across the dusty road.,Seven zebras wandered across the dusty road.,0,0,0,7,0.0,seven zebras wandered across the dusty road,0,0,0,7,0.0,seven zebras wandered across the dusty road
s01_A_modal_D004,s01,A_modal,False,My grandmother kept her symbols in a wooden,My grandmother kept her thimbles in a wooden box.,My grandmother kept her thimbles in a wooden box.,1,1,0,9,0.2222,my grandmother kept her [thimbles->symbols] in a wooden [-box],1,1,0,9,0.2222,my grandmother kept her [thimbles->symbols] in a wooden [-box]
s01_A_modal_D005,s01,A_modal,False,The judge asked for silence in the crowded,The judge asked for silence in the crowded room.,The judge asked for silence in the crowded room.,0,1,0,9,0.1111,the judge asked for silence in the crowded [-room],0,1,0,9,0.1111,the judge asked for silence in the crowded [-room]
s01_A_modal_D006,s01,A_modal,False,Thick fog settled over the harbor before Dawn,Thick fog settled over the harbor before dawn.,Thick fog settled over the harbor before dawn.,0,0,0,8,0.0,thick fog settled over the harbor before dawn,0,0,0,8,0.0,thick fog settled over the harbor before dawn
s01_A_modal_D007,s01,A_modal,False,He measured the flower twice and still got it wrong,He measured the flour twice and still got it wrong.,He measured the flour twice and still got it wrong.,1,0,0,10,0.1,he measured the [flour->flower] twice and still got it wrong,1,0,0,10,0.1,he measured the [flour->flower] twice and still got it wrong
s01_A_modal_D008,s01,A_modal,False,Purple thistles grew along the railway embankment,Purple thistles grew along the railway embankment.,Purple thistles grew along the railway embankment.,0,0,0,7,0.0,purple thistles grew along the railway embankment,0,0,0,7,0.0,purple thistles grew along the railway embankment
s01_A_modal_D009,s01,A_modal,False,The choir rehearse the same passage 11 times,The choir rehearsed the same passage eleven times.,The choir rehearsed the same passage eleven times.,1,0,0,8,0.125,the choir [rehearsed->rehearse] the same passage eleven times,1,0,0,8,0.125,the choir [rehearsed->rehearse] the same passage eleven times
s01_A_modal_D010,s01,A_modal,False,A single moth circled the porch light all evening,A single moth circled the porch light all evening.,A single moth circled the porch light all evening.,0,0,0,9,0.0,a single moth circled the porch light all evening,0,0,0,9,0.0,a single moth circled the porch light all evening
s01_A_modal_D011,s01,A_modal,False,They shipped the equipment in reinforced crate,They shipped the equipment in reinforced crates.,They shipped the equipment in reinforced crates.,1,0,0,7,0.1429,they shipped the equipment in reinforced [crates->crate],1,0,0,7,0.1429,they shipped the equipment in reinforced [crates->crate]
s01_A_modal_D012,s01,A_modal,True,The tide pulled the small boat boat towards the rock,The tide pulled the small boat toward the rocks.,The tide pulled the small boat towards the rocks.,1,0,1,9,0.2222,the tide pulled the small [+boat] boat towards the [rocks->rock],2,0,1,9,0.3333,the tide pulled the small [+boat] boat [toward->towards] the [rocks->rock]
s01_A_modal_D013,s01,A_modal,False,Cinnamon and clove filled the kitchen with warm,Cinnamon and cloves filled the kitchen with warmth.,Cinnamon and cloves filled the kitchen with warmth.,2,0,0,8,0.25,cinnamon and [cloves->clove] filled the kitchen with [warmth->warm],2,0,0,8,0.25,cinnamon and [cloves->clove] filled the kitchen with [warmth->warm]
s01_A_modal_D014,s01,A_modal,False,Nobody remembered who had locked the back door,Nobody remembered who had locked the back door.,Nobody remembered who had locked the back door.,0,0,0,8,0.0,nobody remembered who had locked the back door,0,0,0,8,0.0,nobody remembered who had locked the back door
s01_A_modal_D015,s01,A_modal,False,The librarian stamped each card with quiet position,The librarian stamped each card with quiet precision.,The librarian stamped each card with quiet precision.,1,0,0,8,0.125,the librarian stamped each card with quiet [precision->position],1,0,0,8,0.125,the librarian stamped each card with quiet [precision->position]
s01_A_modal_D016,s01,A_modal,False,Wet leaves clogged the gutter the gutter above the window,Wet leaves clogged the gutter above the window.,Wet leaves clogged the gutter above the window.,0,0,2,8,0.25,wet leaves clogged [+the] [+gutter] the gutter above the window,0,0,2,8,0.25,wet leaves clogged [+the] [+gutter] the gutter above the window
s01_A_modal_D017,s01,A_modal,False,I bought a secondhand bicycle for $40,I bought a secondhand bicycle for forty dollars.,I bought a secondhand bicycle for forty dollars.,0,0,0,8,0.0,i bought a secondhand bicycle for forty dollars,0,0,0,8,0.0,i bought a secondhand bicycle for forty dollars
s01_A_modal_D018,s01,A_modal,False,The mountain village looked empty in the,The mountain village looked empty in the photograph.,The mountain village looked empty in the photograph.,0,1,0,8,0.125,the mountain village looked empty in the [-photograph],0,1,0,8,0.125,the mountain village looked empty in the [-photograph]
s01_A_modal_D019,s01,A_modal,False,Three sparrows fought over a crust of bread,Three sparrows fought over a crust of bread.,Three sparrows fought over a crust of bread.,0,0,0,8,0.0,three sparrows fought over a crust of bread,0,0,0,8,0.0,three sparrows fought over a crust of bread
s01_A_modal_D020,s01,A_modal,False,His youngest brother plays the trumpet in the marching band,His youngest brother plays trumpet in the marching band.,His youngest brother plays trumpet in the marching band.,0,0,1,9,0.1111,his youngest brother plays [+the] trumpet in the marching band,0,0,1,9,0.1111,his youngest brother plays [+the] trumpet in the marching band
s01_A_modal_D021,s01,A_modal,False,The recipe called for saffron which we could not,"The recipe called for saffron, which we could not find.","The recipe called for saffron, which we could not find.",0,1,0,10,0.1,the recipe called for saffron which we could not [-find],0,1,0,10,0.1,the recipe called for saffron which we could not [-find]
s01_A_modal_D022,s01,A_modal,False,Snow buried the fence posts by early January,Snow buried the fence posts by early January.,Snow buried the fence posts by early January.,0,0,0,8,0.0,snow buried the fence posts by early january,0,0,0,8,0.0,snow buried the fence posts by early january
s01_A_modal_D023,s01,A_modal,False,She wrote the whole essay on a borrowed laptop,She wrote the whole essay on a borrowed laptop.,She wrote the whole essay on a borrowed laptop.,0,0,0,9,0.0,she wrote the whole essay on a borrowed laptop,0,0,0,9,0.0,she wrote the whole essay on a borrowed laptop
s01_A_modal_D024,s01,A_modal,False,The engine coughed once and then went silent,The engine coughed once and then went silent.,The engine coughed once and then went silent.,0,0,0,8,0.0,the engine coughed once and then went silent,0,0,0,8,0.0,the engine coughed once and then went silent
s01_A_modal_D025,s01,A_modal,False,Amber light spilled across the polished floorboards,Amber light spilled across the polished floorboards.,Amber light spilled across the polished floorboards.,0,0,0,7,0.0,amber light spilled across the polished floorboards,0,0,0,7,0.0,amber light spilled across the polished floorboards
s01_A_modal_D026,s01,A_modal,False,We watched the storm move east across the Valley,We watched the storm move east across the valley.,We watched the storm move east across the valley.,0,0,0,9,0.0,we watched the storm move east across the valley,0,0,0,9,0.0,we watched the storm move east across the valley
s01_A_modal_D027,s01,A_modal,False,The tailor pinned the ham with practice finger,The tailor pinned the hem with practiced fingers.,The tailor pinned the hem with practiced fingers.,3,0,0,8,0.375,the tailor pinned the [hem->ham] with [practiced->practice] [fingers->finger],3,0,0,8,0.375,the tailor pinned the [hem->ham] with [practiced->practice] [fingers->finger]
s01_A_modal_D028,s01,A_modal,False,Salt crusted the windows of the beach,Salt crusted the windows of the beach house.,Salt crusted the windows of the beach house.,0,1,0,8,0.125,salt crusted the windows of the beach [-house],0,1,0,8,0.125,salt crusted the windows of the beach [-house]
s01_A_modal_D029,s01,A_modal,False,Their apartment smelled faintly of turpentine,Their apartment smelled faintly of turpentine.,Their apartment smelled faintly of turpentine.,0,0,0,6,0.0,their apartment smelled faintly of turpentine,0,0,0,6,0.0,their apartment smelled faintly of turpentine
s01_A_modal_D030,s01,A_modal,False,A heron stood motionless at the edge of the pond,A heron stood motionless at the edge of the pond.,A heron stood motionless at the edge of the pond.,0,0,0,10,0.0,a heron stood motionless at the edge of the pond,0,0,0,10,0.0,a heron stood motionless at the edge of the pond
s01_A_modal_D031,s01,A_modal,False,The clock in the hallway runs about four minutes fast,The clock in the hallway runs about four minutes fast.,The clock in the hallway runs about four minutes fast.,0,0,0,10,0.0,the clock in the hallway runs about four minutes fast,0,0,0,10,0.0,the clock in the hallway runs about four minutes fast
s01_A_modal_D032,s01,A_modal,False,He folded the newspaper and set it on the table,He folded the newspaper and set it on the table.,He folded the newspaper and set it on the table.,0,0,0,10,0.0,he folded the newspaper and set it on the table,0,0,0,10,0.0,he folded the newspaper and set it on the table
s01_A_modal_D033,s01,A_modal,False,Bright green algae covered the surface of the water,Bright green algae covered the surface of the water.,Bright green algae covered the surface of the water.,0,0,0,9,0.0,bright green algae covered the surface of the water,0,0,0,9,0.0,bright green algae covered the surface of the water
s01_A_modal_D034,s01,A_modal,True,The children traded sticks during the long bus ride,The children traded stickers during the long bus ride.,The children traded sticks during the long bus ride.,0,0,0,9,0.0,the children traded sticks during the long bus ride,1,0,0,9,0.1111,the children traded [stickers->sticks] during the long bus ride
s01_A_modal_D035,s01,A_modal,False,Rain hammered the tin roof for most of the night,Rain hammered the tin roof for most of the night.,Rain hammered the tin roof for most of the night.,0,0,0,10,0.0,rain hammered the tin roof for most of the night,0,0,0,10,0.0,rain hammered the tin roof for most of the night
s01_A_modal_F001,s01,A_modal,False,I don't really know what she was thinking honestly,"I don't really know what she was thinking, honestly.","I don't really know what she was thinking, honestly.",0,0,0,9,0.0,i don't really know what she was thinking honestly,0,0,0,9,0.0,i don't really know what she was thinking honestly
s01_A_modal_F002,s01,A_modal,False,We ended up walking the whole way home,"We ended up walking the whole way home, anyway.","We ended up walking the whole way home, anyway.",0,1,0,9,0.1111,we ended up walking the whole way home [-anyway],0,1,0,9,0.1111,we ended up walking the whole way home [-anyway]
s01_A_modal_F003,s01,A_modal,False,It was one of those afternoons were nothing happened at,It was one of those afternoons where nothing happened at all.,It was one of those afternoons where nothing happened at all.,1,1,0,11,0.1818,it was one of those afternoons [where->were] nothing happened at [-all],1,1,0,11,0.1818,it was one of those afternoons [where->were] nothing happened at [-all]
s01_A_modal_F004,s01,A_modal,False,He said he'd call back but he never really did,"He said he'd call back, but he never really did.","He said he'd call back, but he never really did.",0,0,0,10,0.0,he said he'd call back but he never really did,0,0,0,10,0.0,he said he'd call back but he never really did
s01_A_modal_F005,s01,A_modal,False,The whole thing fell apart before anyone noticed apparently,"The whole thing fell apart before anyone noticed, apparently.","The whole thing fell apart before anyone noticed, apparently.",0,0,0,9,0.0,the whole thing fell apart before anyone noticed apparently,0,0,0,9,0.0,the whole thing fell apart before anyone noticed apparently
s01_A_modal_F006,s01,A_modal,False,I guess that's just how it goes sometime,I guess that's just how it goes sometimes.,I guess that's just how it goes sometimes.,1,0,0,8,0.125,i guess that's just how it goes [sometimes->sometime],1,0,0,8,0.125,i guess that's just how it goes [sometimes->sometime]
s01_A_modal_F007,s01,A_modal,False,She left the party early and nobody said anything,She left the party early and nobody said anything.,She left the party early and nobody said anything.,0,0,0,9,0.0,she left the party early and nobody said anything,0,0,0,9,0.0,she left the party early and nobody said anything
s01_A_modal_F008,s01,A_modal,False,It's not that I mind it's just kind of strange,"It's not that I mind, it's just kind of strange.","It's not that I mind, it's just kind of strange.",0,0,0,10,0.0,it's not that i mind it's just kind of strange,0,0,0,10,0.0,it's not that i mind it's just kind of strange
s01_A_modal_F009,s01,A_modal,True,They moved out to Oregon a couple years ago,They moved out to Oregon a couple of years ago.,They moved out to Oregon a couple years ago.,0,0,0,9,0.0,they moved out to oregon a couple years ago,0,1,0,10,0.1,they moved out to oregon a couple [-of] years ago
s01_A_modal_F010,s01,A_modal,False,Nothing about that story adds up if you think about it,"Nothing about that story adds up, if you think about it.","Nothing about that story adds up, if you think about it.",0,0,0,11,0.0,nothing about that story adds up if you think about it,0,0,0,11,0.0,nothing about that story adds up if you think about it
s01_A_modal_F011,s01,A_modal,True,I've been meaning to write back for a while now,I'd been meaning to write back for a while now.,I've been meaning to write back for a while now.,0,0,0,10,0.0,i've been meaning to write back for a while now,1,0,0,10,0.1,[i'd->i've] been meaning to write back for a while now
s01_A_modal_F012,s01,A_modal,True,We sat in the car for maybe 20 minutes,We sat there in the car for maybe twenty minutes.,We sat in the car for maybe 20 minute.,1,0,0,9,0.1111,we sat in the car for maybe twenty [minute->minutes],0,1,0,10,0.1,we sat [-there] in the car for maybe twenty minutes
s01_A_modal_F013,s01,A_modal,False,He's been doing that same job for 11 years,He's been doing that same job for eleven years.,He's been doing that same job for eleven years.,0,0,0,9,0.0,he's been doing that same job for eleven years,0,0,0,9,0.0,he's been doing that same job for eleven years
s01_A_modal_F014,s01,A_modal,False,It rained the entire week we were on island,It rained the entire week we were on the island.,It rained the entire week we were on the island.,0,1,0,10,0.1,it rained the entire week we were on [-the] island,0,1,0,10,0.1,it rained the entire week we were on [-the] island
s01_A_modal_F015,s01,A_modal,False,I never learned how to swim which is embarrassing,"I never learned how to swim, which is embarrassing.","I never learned how to swim, which is embarrassing.",0,0,0,9,0.0,i never learned how to swim which is embarrassing,0,0,0,9,0.0,i never learned how to swim which is embarrassing
s01_A_modal_F016,s01,A_modal,False,That's pretty much all anyone talked about after work,That's pretty much all anyone talked about afterward.,That's pretty much all anyone talked about afterward.,1,0,1,8,0.25,that's pretty much all anyone talked about [+after] [afterward->work],1,0,1,8,0.25,that's pretty much all anyone talked about [+after] [afterward->work]
s01_A_modal_F017,s01,A_modal,False,She kept apologizing even though it wasn't her fault,She kept apologizing even though it wasn't her fault.,She kept apologizing even though it wasn't her fault.,0,0,0,9,0.0,she kept apologizing even though it wasn't her fault,0,0,0,9,0.0,she kept apologizing even though it wasn't her fault
s01_A_modal_F018,s01,A_modal,False,The apartment was smaller than we expected obviously,"The apartment was smaller than we expected, obviously.","The apartment was smaller than we expected, obviously.",0,0,0,8,0.0,the apartment was smaller than we expected obviously,0,0,0,8,0.0,the apartment was smaller than we expected obviously
s01_A_modal_F019,s01,A_modal,False,I think I left my keys somewhere in the stair,I think I left my keys somewhere in the stairwell.,I think I left my keys somewhere in the stairwell.,1,0,0,10,0.1,i think i left my keys somewhere in the [stairwell->stair],1,0,0,10,0.1,i think i left my keys somewhere in the [stairwell->stair]
s01_A_modal_F020,s01,A_modal,False,It turned out fine more or less in the,"It turned out fine, more or less, in the end.","It turned out fine, more or less, in the end.",0,1,0,10,0.1,it turned out fine more or less in the [-end],0,1,0,10,0.1,it turned out fine more or less in the [-end]
s01_A_modal_F021,s01,A_modal,False,Nobody warned us about the traffic on the way in,Nobody warned us about the traffic on the way in.,Nobody warned us about the traffic on the way in.,0,0,0,10,0.0,nobody warned us about the traffic on the way in,0,0,0,10,0.0,nobody warned us about the traffic on the way in
s01_A_modal_F022,s01,A_modal,False,He mentioned it once and then never brought it up again,He mentioned it once and then never brought it up again.,He mentioned it once and then never brought it up again.,0,0,0,11,0.0,he mentioned it once and then never brought it up again,0,0,0,11,0.0,he mentioned it once and then never brought it up again
s01_A_modal_F023,s01,A_modal,False,We were both too tired to argue about it anymore,We were both too tired to argue about it anymore.,We were both too tired to argue about it anymore.,0,0,0,10,0.0,we were both too tired to argue about it anymore,0,0,0,10,0.0,we were both too tired to argue about it anymore
s01_A_modal_F024,s01,A_modal,False,Fine I've been putting that conversation off for months,I've been putting that conversation off for months.,I've been putting that conversation off for months.,0,0,1,8,0.125,[+fine] i've been putting that conversation off for months,0,0,1,8,0.125,[+fine] i've been putting that conversation off for months
s01_A_modal_F025,s01,A_modal,False,It felt like the longest week of the entire summer,It felt like the longest week of the entire summer.,It felt like the longest week of the entire summer.,0,0,0,10,0.0,it felt like the longest week of the entire summer,0,0,0,10,0.0,it felt like the longest week of the entire summer
s01_B_natural_C001,s01,B_natural,False,Set a timer for 12 minutes,Set a timer for twelve minutes.,Set a timer for twelve minutes.,0,0,0,6,0.0,set a timer for twelve minutes,0,0,0,6,0.0,set a timer for twelve minutes
s01_B_natural_C002,s01,B_natural,False,Text Marcus that I'm running late,Text Marcus that I'm running late.,Text Marcus that I'm running late.,0,0,0,6,0.0,text marcus that i'm running late,0,0,0,6,0.0,text marcus that i'm running late
s01_B_natural_C003,s01,B_natural,False,What's the weather in Newton tomorrow,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,0,0,0,6,0.0,what's the weather in newton tomorrow,0,0,0,6,0.0,what's the weather in newton tomorrow
s01_B_natural_C004,s01,B_natural,True,Play the new Noah Kahan,Play the new Noah Kahan album.,Play the new Noah Kahn album.,1,1,0,6,0.3333,play the new noah [-kahn] [album->kahan],0,1,0,6,0.1667,play the new noah kahan [-album]
s01_B_natural_C005,s01,B_natural,False,Remind me to email my advisor on Monday,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,0,0,0,8,0.0,remind me to email my advisor on monday,0,0,0,8,0.0,remind me to email my advisor on monday
s01_B_natural_C006,s01,B_natural,False,How long is the flight to Tokyo,How long is the flight to Tokyo?,How long is the flight to Tokyo?,0,0,0,7,0.0,how long is the flight to tokyo,0,0,0,7,0.0,how long is the flight to tokyo
s01_B_natural_C007,s01,B_natural,True,Add oat milk to,Add oat milk to my grocery list.,Add oat milk to.,0,0,0,4,0.0,add oat milk to,0,3,0,7,0.4286,add oat milk to [-my] [-grocery] [-list]
s01_B_natural_C008,s01,B_natural,False,Call the gelato shop on Orchard Street,Call the gelato shop on Orchard Street.,Call the gelato shop on Orchard Street.,0,0,0,7,0.0,call the gelato shop on orchard street,0,0,0,7,0.0,call the gelato shop on orchard street
s01_B_natural_C009,s01,B_natural,False,Turn off the bedroom lights,Turn off the bedroom lights.,Turn off the bedroom lights.,0,0,0,5,0.0,turn off the bedroom lights,0,0,0,5,0.0,turn off the bedroom lights
s01_B_natural_C010,s01,B_natural,False,What time does the library close today,What time does the library close today?,What time does the library close today?,0,0,0,7,0.0,what time does the library close today,0,0,0,7,0.0,what time does the library close today
s01_B_natural_C011,s01,B_natural,False,Navigate to Grand Central terminal,Navigate to Grand Central Terminal.,Navigate to Grand Central Terminal.,0,0,0,5,0.0,navigate to grand central terminal,0,0,0,5,0.0,navigate to grand central terminal
