utt_id,session,pass,verbatim_text,hypothesis,model_size,compute_type,elapsed_ms,substitutions,deletions,insertions,reference_length,wer,alignment
s01_A_modal_D013,s01,A_modal,Cinnamon and cloves filled the kitchen with warmth.,Cinnamon and cloves filled the kitchen with warmth.,large-v3,int8,52290.2,0,0,0,8,0.0,cinnamon and cloves filled the kitchen with warmth
s01_A_modal_D014,s01,A_modal,Nobody remembered who had locked the back door.,nobody remembered who had locked the back door.,large-v3,int8,52767.5,0,0,0,8,0.0,nobody remembered who had locked the back door
s01_A_modal_D015,s01,A_modal,The librarian stamped each card with quiet precision.,The librarian stamped each card with quiet precision.,large-v3,int8,52129.7,0,0,0,8,0.0,the librarian stamped each card with quiet precision
s01_A_modal_D016,s01,A_modal,Wet leaves clogged the gutter above the window.,Wet leaves clogged the gutter above the window.,large-v3,int8,53139.0,0,0,0,8,0.0,wet leaves clogged the gutter above the window
s01_A_modal_D018,s01,A_modal,The mountain village looked empty in the photograph.,The mountain village looked empty in the photograph.,large-v3,int8,52453.8,0,0,0,8,0.0,the mountain village looked empty in the photograph
s01_A_modal_D017,s01,A_modal,I bought a secondhand bicycle for forty dollars.,I bought a second-hand bicycle for $40.,large-v3,int8,53933.2,1,0,1,8,0.25,i bought a [+second] [secondhand->hand] bicycle for forty dollars
s01_A_modal_D019,s01,A_modal,Three sparrows fought over a crust of bread.,Three sparrows fought over a crust of bread.,large-v3,int8,53334.5,0,0,0,8,0.0,three sparrows fought over a crust of bread
s01_A_modal_D020,s01,A_modal,His youngest brother plays trumpet in the marching band.,His youngest brother plays the trumpet in the marching band.,large-v3,int8,53104.3,0,0,1,9,0.1111,his youngest brother plays [+the] trumpet in the marching band
s01_A_modal_D021,s01,A_modal,"The recipe called for saffron, which we could not find.","The recipe called for saffron, which we could not find.",large-v3,int8,53778.4,0,0,0,10,0.0,the recipe called for saffron which we could not find
s01_A_modal_D022,s01,A_modal,Snow buried the fence posts by early January.,Snow buried the fence posts by early January.,large-v3,int8,53055.3,0,0,0,8,0.0,snow buried the fence posts by early january
s01_A_modal_D023,s01,A_modal,She wrote the whole essay on a borrowed laptop.,She wrote the whole essay on a borrowed laptop.,large-v3,int8,53817.0,0,0,0,9,0.0,she wrote the whole essay on a borrowed laptop
s01_A_modal_D024,s01,A_modal,The engine coughed once and then went silent.,The engine coughed once and then went silent.,large-v3,int8,53956.0,0,0,0,8,0.0,the engine coughed once and then went silent
s01_A_modal_D025,s01,A_modal,Amber light spilled across the polished floorboards.,Amber light spilled across the polished floorboards.,large-v3,int8,51705.0,0,0,0,7,0.0,amber light spilled across the polished floorboards
s01_A_modal_D026,s01,A_modal,We watched the storm move east across the valley.,We watched the storm move east across the valley.,large-v3,int8,51640.6,0,0,0,9,0.0,we watched the storm move east across the valley
s01_A_modal_D027,s01,A_modal,The tailor pinned the hem with practiced fingers.,The tailor pinned the hem with practiced fingers.,large-v3,int8,51654.3,0,0,0,8,0.0,the tailor pinned the hem with practiced fingers
s01_A_modal_D029,s01,A_modal,Their apartment smelled faintly of turpentine.,Their apartment smelled faintly of turpentine.,large-v3,int8,52255.9,0,0,0,6,0.0,their apartment smelled faintly of turpentine
s01_A_modal_D028,s01,A_modal,Salt crusted the windows of the beach house.,Salt crusted the windows of the beach house.,large-v3,int8,53658.7,0,0,0,8,0.0,salt crusted the windows of the beach house
s01_A_modal_D030,s01,A_modal,A heron stood motionless at the edge of the pond.,A heron stood motionless at the edge of the pond.,large-v3,int8,52618.0,0,0,0,10,0.0,a heron stood motionless at the edge of the pond
s01_A_modal_D031,s01,A_modal,The clock in the hallway runs about four minutes fast.,The clock in the hallway runs about four minutes fast.,large-v3,int8,54163.6,0,0,0,10,0.0,the clock in the hallway runs about four minutes fast
s01_A_modal_D032,s01,A_modal,He folded the newspaper and set it on the table.,He folded the newspaper and set it on the table.,large-v3,int8,53223.1,0,0,0,10,0.0,he folded the newspaper and set it on the table
s01_A_modal_D033,s01,A_modal,Bright green algae covered the surface of the water.,Bright green algae covered the surface of the water.,large-v3,int8,53339.3,0,0,0,9,0.0,bright green algae covered the surface of the water
s01_A_modal_D034,s01,A_modal,The children traded sticks during the long bus ride.,The children traded sticks during the long bus ride.,large-v3,int8,53138.3,0,0,0,9,0.0,the children traded sticks during the long bus ride
s01_A_modal_D035,s01,A_modal,Rain hammered the tin roof for most of the night.,Rain hammered the tin roof for most of the night.,large-v3,int8,53224.7,0,0,0,10,0.0,rain hammered the tin roof for most of the night
s01_A_modal_F002,s01,A_modal,"We ended up walking the whole way home, anyway.",we ended up walking the whole way home anyway.,large-v3,int8,52498.9,0,0,0,9,0.0,we ended up walking the whole way home anyway
s01_A_modal_F003,s01,A_modal,It was one of those afternoons where nothing happened at all.,It was one of those afternoons where nothing happened at all.,large-v3,int8,53222.0,0,0,0,11,0.0,it was one of those afternoons where nothing happened at all
s01_A_modal_F001,s01,A_modal,"I don't really know what she was thinking, honestly.","I don't really know what she was thinking, honestly.",large-v3,int8,53876.2,0,0,0,9,0.0,i don't really know what she was thinking honestly
s01_A_modal_F004,s01,A_modal,"He said he'd call back, but he never really did.","He said he'd call back, but he never really did.",large-v3,int8,54573.2,0,0,0,10,0.0,he said he'd call back but he never really did
s01_A_modal_F005,s01,A_modal,"The whole thing fell apart before anyone noticed, apparently.","The whole thing fell apart before anyone noticed, apparently.",large-v3,int8,53533.1,0,0,0,9,0.0,the whole thing fell apart before anyone noticed apparently
s01_A_modal_F006,s01,A_modal,I guess that's just how it goes sometimes.,I guess that's just how it goes sometimes.,large-v3,int8,53059.8,0,0,0,8,0.0,i guess that's just how it goes sometimes
s01_A_modal_F007,s01,A_modal,She left the party early and nobody said anything.,She left the party early and nobody said anything.,large-v3,int8,53158.6,0,0,0,9,0.0,she left the party early and nobody said anything
s01_A_modal_F008,s01,A_modal,"It's not that I mind, it's just kind of strange.","It's not that I mind, it's just kind of strange.",large-v3,int8,54951.9,0,0,0,10,0.0,it's not that i mind it's just kind of strange
s01_A_modal_F009,s01,A_modal,They moved out to Oregon a couple years ago.,They moved out to Oregon a couple years ago.,large-v3,int8,53752.3,0,0,0,9,0.0,they moved out to oregon a couple years ago
s01_A_modal_F010,s01,A_modal,"Nothing about that story adds up, if you think about it.",Nothing about that story adds up if you think about it.,large-v3,int8,53363.0,0,0,0,11,0.0,nothing about that story adds up if you think about it
s01_A_modal_F011,s01,A_modal,I've been meaning to write back for a while now.,I've been meaning to write back for a while now.,large-v3,int8,54820.3,0,0,0,10,0.0,i've been meaning to write back for a while now
s01_A_modal_F012,s01,A_modal,We sat in the car for maybe 20 minute.,We sat in the car for maybe 20 minutes.,large-v3,int8,54768.8,1,0,0,9,0.1111,we sat in the car for maybe twenty [minute->minutes]
s01_A_modal_F013,s01,A_modal,He's been doing that same job for eleven years.,He's been doing that same job for 11 years.,large-v3,int8,54576.2,0,0,0,9,0.0,he's been doing that same job for eleven years
s01_A_modal_F015,s01,A_modal,"I never learned how to swim, which is embarrassing.","I never learned how to swim, which is embarrassing.",large-v3,int8,52666.2,0,0,0,9,0.0,i never learned how to swim which is embarrassing
s01_A_modal_F014,s01,A_modal,It rained the entire week we were on the island.,It rained the entire week we were on the island.,large-v3,int8,53402.1,0,0,0,10,0.0,it rained the entire week we were on the island
s01_A_modal_F016,s01,A_modal,That's pretty much all anyone talked about afterward.,That's pretty much all anyone talked about afterwards.,large-v3,int8,52176.5,1,0,0,8,0.125,that's pretty much all anyone talked about [afterward->afterwards]
s01_A_modal_F017,s01,A_modal,She kept apologizing even though it wasn't her fault.,She kept apologizing even though it wasn't her fault.,large-v3,int8,53637.5,0,0,0,9,0.0,she kept apologizing even though it wasn't her fault
s01_A_modal_F018,s01,A_modal,"The apartment was smaller than we expected, obviously.","The apartment was smaller than we expected, obviously.",large-v3,int8,53199.4,0,0,0,8,0.0,the apartment was smaller than we expected obviously
s01_A_modal_F019,s01,A_modal,I think I left my keys somewhere in the stairwell.,I think I left my keys somewhere in the stairwell.,large-v3,int8,54170.9,0,0,0,10,0.0,i think i left my keys somewhere in the stairwell
s01_A_modal_F020,s01,A_modal,"It turned out fine, more or less, in the end.","It turned out fine, more or less, in the end.",large-v3,int8,53452.4,0,0,0,10,0.0,it turned out fine more or less in the end
s01_A_modal_F021,s01,A_modal,Nobody warned us about the traffic on the way in.,Nobody warned us about the traffic on the way in.,large-v3,int8,53128.5,0,0,0,10,0.0,nobody warned us about the traffic on the way in
s01_A_modal_F022,s01,A_modal,He mentioned it once and then never brought it up again.,he mentioned it once and then never brought it up again,large-v3,int8,52990.1,0,0,0,11,0.0,he mentioned it once and then never brought it up again
s01_A_modal_F023,s01,A_modal,We were both too tired to argue about it anymore.,"day, we were both too tired to argue about it anymore.",large-v3,int8,54559.8,0,0,1,10,0.1,[+day] we were both too tired to argue about it anymore
s01_A_modal_F024,s01,A_modal,I've been putting that conversation off for months.,I've been putting that conversation off for months.,large-v3,int8,53167.4,0,0,0,8,0.0,i've been putting that conversation off for months
s01_B_natural_C001,s01,B_natural,Set a timer for twelve minutes.,Set a timer for 12 minutes.,large-v3,int8,51935.0,0,0,0,6,0.0,set a timer for twelve minutes
s01_A_modal_F025,s01,A_modal,It felt like the longest week of the entire summer.,It felt like the longest week of the entire summer.,large-v3,int8,53403.4,0,0,0,10,0.0,it felt like the longest week of the entire summer
s01_B_natural_C002,s01,B_natural,Text Marcus that I'm running late.,Text Marcus that I'm running late.,large-v3,int8,52703.8,0,0,0,6,0.0,text marcus that i'm running late
s01_B_natural_C003,s01,B_natural,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,large-v3,int8,53156.1,0,0,0,6,0.0,what's the weather in newton tomorrow
s01_B_natural_C004,s01,B_natural,Play the new Noah Kahn album.,Play the new Noah Kahn album.,large-v3,int8,54036.0,0,0,0,6,0.0,play the new noah kahn album
s01_B_natural_C005,s01,B_natural,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,large-v3,int8,52257.7,0,0,0,8,0.0,remind me to email my advisor on monday
s01_B_natural_C006,s01,B_natural,How long is the flight to Tokyo?,How long is the flight to Tokyo?,large-v3,int8,51364.3,0,0,0,7,0.0,how long is the flight to tokyo
s01_B_natural_C007,s01,B_natural,Add oat milk to.,Add oat milk to my,large-v3,int8,51552.1,0,0,1,4,0.25,add oat milk to [+my]
s01_B_natural_C009,s01,B_natural,Turn off the bedroom lights.,turn off the bedroom lights,large-v3,int8,51785.4,0,0,0,5,0.0,turn off the bedroom lights
s01_B_natural_C008,s01,B_natural,Call the gelato shop on Orchard Street.,Call the gelato shop on Orchard Street.,large-v3,int8,53685.6,0,0,0,7,0.0,call the gelato shop on orchard street
s01_B_natural_C010,s01,B_natural,What time does the library close today?,What time does the library close today?,large-v3,int8,52911.8,0,0,0,7,0.0,what time does the library close today
s01_B_natural_C011,s01,B_natural,Navigate to Grand Central Terminal.,Navigate to Grand Central Terminal.,large-v3,int8,53582.2,0,0,0,5,0.0,navigate to grand central terminal
s01_B_natural_C012,s01,B_natural,Send a photo to the choir group chat.,send a photo to the choir group chat.,large-v3,int8,52720.3,0,0,0,8,0.0,send a photo to the choir group chat
s01_B_natural_C013,s01,B_natural,Show me my calendar for next Thursday.,Show me my calendar for next Thursday.,large-v3,int8,55527.4,0,0,0,7,0.0,show me my calendar for next thursday
s01_B_natural_C015,s01,B_natural,Skip to the next song.,Skip to the next song.,large-v3,int8,54111.0,0,0,0,5,0.0,skip to the next song
s01_B_natural_C014,s01,B_natural,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,large-v3,int8,55058.2,0,0,0,6,0.0,convert eighty degrees fahrenheit to celsius
s01_B_natural_C017,s01,B_natural,Set an alarm for six forty-five.,Set an alarm for 645.,large-v3,int8,54814.3,0,0,1,7,0.1429,set an alarm for six [+hundred] forty five
s01_B_natural_C016,s01,B_natural,What's the score of the Mets game?,What's the score of the Mets game?,large-v3,int8,56075.2,0,0,0,7,0.0,what's the score of the mets game
s01_B_natural_C018,s01,B_natural,Find a ramen place open past midnight.,Find a ramen place open past midnight.,large-v3,int8,54869.2,0,0,0,7,0.0,find a ramen place open past midnight
s01_B_natural_C019,s01,B_natural,Read my last message from Anjali.,Read my last message from...,large-v3,int8,55156.4,0,1,0,6,0.1667,read my last message from [-anjali]
s01_B_natural_C020,s01,B_natural,How do you say thank you in Japanese?,How do you say thank you in Japanese?,large-v3,int8,55148.5,0,0,0,8,0.0,how do you say thank you in japanese
s01_B_natural_C021,s01,B_natural,Start a workout on my watch.,start a workout on my watch.,large-v3,int8,51308.3,0,0,0,6,0.0,start a workout on my watch
s01_B_natural_C022,s01,B_natural,Cancel my reminder about the dentist.,Cancel my reminder about the dentist.,large-v3,int8,51815.0,0,0,0,6,0.0,cancel my reminder about the dentist
s01_B_natural_C023,s01,B_natural,Take a note about the pitch analysis.,Take a note about the pitch analysis.,large-v3,int8,52475.6,0,0,0,7,0.0,take a note about the pitch analysis
s01_B_natural_C025,s01,B_natural,Turn the volume down a little.,Turn the volume down a little.,large-v3,int8,51706.7,0,0,0,6,0.0,turn the volume down a little
s01_B_natural_C024,s01,B_natural,What is twenty percent of forty-three dollars?,What is 20% of $43?,large-v3,int8,52703.9,0,0,0,8,0.0,what is twenty percent of forty three dollars
s01_B_natural_C026,s01,B_natural,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,large-v3,int8,52957.0,1,0,0,6,0.1667,open the [praat->pratt] documentation in safari
s01_B_natural_C027,s01,B_natural,Schedule a meeting for Friday afternoon.,Schedule a meeting for Friday afternoon.,large-v3,int8,51784.2,0,0,0,6,0.0,schedule a meeting for friday afternoon
s01_B_natural_C028,s01,B_natural,Is it going to rain this evening?,Is it going to rain this evening?,large-v3,int8,52028.7,0,0,0,7,0.0,is it going to rain this evening
s01_B_natural_C030,s01,B_natural,Delete the last voice memo.,Delete the last voice memo.,large-v3,int8,50324.3,0,0,0,5,0.0,delete the last voice memo
s01_B_natural_C029,s01,B_natural,Play something quiet while I study.,Play something quiet while I study.,large-v3,int8,51368.0,0,0,0,6,0.0,play something quiet while i study
s01_B_natural_C031,s01,B_natural,What's the fastest way to Morningside Heights?,What's the fastest way to Morningside Heights?,large-v3,int8,53077.8,0,0,0,7,0.0,what's the fastest way to morningside heights
s01_B_natural_C032,s01,B_natural,Add a wisteria trellis to my shopping list.,Add Wisteria Trellis to my shopping list.,large-v3,int8,52598.3,0,1,0,8,0.125,add [-a] wisteria trellis to my shopping list
s01_B_natural_C033,s01,B_natural,Tell me a joke about linguists.,Tell me a joke about linguists.,large-v3,int8,52043.5,0,0,0,6,0.0,tell me a joke about linguists
s01_B_natural_C034,s01,B_natural,Show me photos of Cape Caw.,Show me photos of Cape Cod.,large-v3,int8,52378.0,1,0,0,6,0.1667,show me photos of cape [caw->cod]
s01_B_natural_C035,s01,B_natural,How many days until September first?,How many days until September 1st?,large-v3,int8,52057.0,1,0,0,6,0.1667,how many days until september [first->onest]
s01_B_natural_C036,s01,B_natural,Turn on do not disturb until noon.,Turn on Do Not Disturb until noon.,large-v3,int8,53446.9,0,0,0,7,0.0,turn on do not disturb until noon
s01_B_natural_C037,s01,B_natural,Where is the nearest pharmacy?,Where is the nearest pharmacy?,large-v3,int8,53715.2,0,0,0,5,0.0,where is the nearest pharmacy
s01_B_natural_C038,s01,B_natural,Email the lab about the annotation deadline.,Email the lab about the annotation deadline.,large-v3,int8,54158.9,0,0,0,7,0.0,email the lab about the annotation deadline
s01_B_natural_C039,s01,B_natural,What's on my agenda this morning?,What's on my agenda this morning?,large-v3,int8,53286.2,0,0,0,6,0.0,what's on my agenda this morning
s01_B_natural_C040,s01,B_natural,Play white noise for thirty minutes.,Play white noise for 30 minutes.,large-v3,int8,53633.1,0,0,0,6,0.0,play white noise for thirty minutes
s01_B_natural_D001,s01,B_natural,The old bridge groaned under the weight of the truck.,The old bridge groaned under the weight of the truck.,large-v3,int8,55595.8,0,0,0,10,0.0,the old bridge groaned under the weight of the truck
s01_B_natural_D002,s01,B_natural,She poured the vinegar into a shallow glass dish.,She poured the vinegar into a shallow glass dish.,large-v3,int8,54719.4,0,0,0,9,0.0,she poured the vinegar into a shallow glass dish
s01_B_natural_D003,s01,B_natural,Seven zebras wandered across the dusty road.,Seven zebras wandered across the dusty road.,large-v3,int8,55029.5,0,0,0,7,0.0,seven zebras wandered across the dusty road
s01_B_natural_D004,s01,B_natural,My grandmother kept her thimbles in a wooden box.,My grandmother kept her thimbles in a wooden box.,large-v3,int8,56392.8,0,0,0,9,0.0,my grandmother kept her thimbles in a wooden box
s01_B_natural_D005,s01,B_natural,The judge asked for silence in the crowded room.,The judge asked for silence in the crowded room.,large-v3,int8,53965.9,0,0,0,9,0.0,the judge asked for silence in the crowded room
s01_B_natural_D006,s01,B_natural,Thick fog settled over the harbor before dawn.,Thick fog settled over the harbor before dawn.,large-v3,int8,54538.5,0,0,0,8,0.0,thick fog settled over the harbor before dawn
s01_B_natural_D007,s01,B_natural,He measured the flour twice and still got it wrong.,He measured the flower twice and still got it wrong.,large-v3,int8,54083.3,1,0,0,10,0.1,he measured the [flour->flower] twice and still got it wrong
s01_B_natural_D008,s01,B_natural,Purple thistles grew along the railway embankment.,Purple thistles grew along the railway embankment.,large-v3,int8,54136.1,0,0,0,7,0.0,purple thistles grew along the railway embankment
s01_B_natural_D009,s01,B_natural,The choir rehearsed the same passage eleven times.,The choir rehearsed the same passage 11 times.,large-v3,int8,53627.2,0,0,0,8,0.0,the choir rehearsed the same passage eleven times
s01_B_natural_D010,s01,B_natural,A single moth circled the porch light all evening.,A single moth circled the porch light all evening.,large-v3,int8,53608.4,0,0,0,9,0.0,a single moth circled the porch light all evening
s01_B_natural_D011,s01,B_natural,They shipped the equipment in reinforced crates.,They shipped the equipment in reinforced crates.,large-v3,int8,53113.0,0,0,0,7,0.0,they shipped the equipment in reinforced crates
s01_B_natural_D012,s01,B_natural,The tide pulled the small boat towards the rocks.,The tide pulled the small boat towards the rocks.,large-v3,int8,53969.9,0,0,0,9,0.0,the tide pulled the small boat towards the rocks
s01_B_natural_D013,s01,B_natural,Cinnamon and cloves filled the kitchen with warmth.,Cinnamon and cloves filled the kitchen with warmth.,large-v3,int8,52415.6,0,0,0,8,0.0,cinnamon and cloves filled the kitchen with warmth
s01_B_natural_D014,s01,B_natural,Nobody remembered who had locked the back door.,Nobody remembered who had locked the back door.,large-v3,int8,52774.3,0,0,0,8,0.0,nobody remembered who had locked the back door
s01_B_natural_D015,s01,B_natural,The librarian stamped each card with quiet precision.,The librarian stamped each card with quiet precision.,large-v3,int8,52359.3,0,0,0,8,0.0,the librarian stamped each card with quiet precision
